,age,medu,fedu,traveltime,studytime,failures,famrel,freetime,goout,dalc,walc,health,absences,g1,g2,g3,school_MS,sex_M,address_U,famsize_LE3,pstatus_T,mjob_health,mjob_other,mjob_services,mjob_teacher,fjob_health,fjob_other,fjob_services,fjob_teacher,reason_home,reason_other,reason_reputation,guardian_mother,guardian_other,schoolsup_yes,famsup_yes,paid_yes,activities_yes,nursery_yes,higher_yes,internet_yes,romantic_yes
0,18,4,4,2,2,0,4,3,4,1,1,3,4,0,11,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0
1,17,1,1,1,2,0,5,3,3,1,1,3,2,9,11,11,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
2,15,1,1,1,2,0,4,3,2,2,3,3,6,12,13,12,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0
3,15,4,2,1,3,0,3,2,2,1,1,5,0,14,14,14,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1
4,16,3,3,1,2,0,4,3,2,1,2,5,0,11,13,13,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0
5,16,4,3,1,2,0,5,4,2,1,2,5,6,12,12,13,0,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0
6,16,2,2,1,2,0,4,4,4,1,1,3,0,13,12,13,0,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0
7,17,4,4,2,2,0,4,1,4,1,1,1,2,10,13,13,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0
8,15,3,2,1,2,0,4,2,2,1,1,1,0,15,16,17,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0
9,15,3,4,1,2,0,5,5,1,1,1,5,0,12,12,13,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0
10,15,4,4,1,2,0,3,3,3,1,2,2,2,14,14,14,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0
11,15,2,1,3,3,0,5,2,2,1,1,4,0,10,12,13,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0
12,15,4,4,1,1,0,4,3,3,1,3,5,0,12,13,12,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1,0
13,15,4,3,2,2,0,5,4,3,1,2,3,0,12,12,13,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0
14,15,2,2,1,3,0,4,5,2,1,1,3,0,14,14,15,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,1,1,1
15,16,4,4,1,1,0,4,4,4,1,2,2,6,17,17,17,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0
16,16,4,4,1,3,0,3,2,3,1,2,2,10,13,13,14,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0
17,16,3,3,3,2,0,5,3,2,1,1,4,2,13,14,14,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0
18,17,3,2,1,1,3,5,5,5,2,4,5,2,8,8,7,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0
19,16,4,3,1,1,0,3,1,3,1,3,5,6,12,12,12,0,1,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0
20,15,4,3,1,2,0,4,4,1,1,1,1,0,12,13,14,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0
21,15,4,4,1,1,0,5,4,2,1,1,5,0,11,12,12,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,0
22,16,4,2,1,2,0,4,5,1,1,3,5,0,12,13,14,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
23,16,2,2,2,2,0,5,4,4,2,4,5,2,10,10,10,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0
24,15,2,4,1,3,0,4,3,2,1,1,5,2,10,11,10,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0
25,16,2,2,1,1,0,1,2,2,1,3,5,6,10,11,12,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0
26,15,2,2,1,1,0,4,2,2,1,2,5,8,11,12,12,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0
27,15,4,2,1,1,0,2,2,4,2,4,1,0,11,11,11,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0
28,16,3,4,1,2,0,5,3,3,1,1,5,2,12,12,13,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0
29,16,4,4,1,2,0,4,4,5,5,5,5,4,12,11,12,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1,1
30,15,4,4,1,2,0,5,4,2,3,4,5,0,10,11,11,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,1,0
31,15,4,4,2,2,0,4,3,1,1,1,5,2,15,15,15,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0
32,15,4,3,1,2,0,4,5,2,1,1,5,0,13,14,15,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1
33,15,3,3,1,2,0,5,3,2,1,1,2,0,13,12,12,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
34,16,3,2,1,1,0,5,4,3,1,1,5,4,12,12,12,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0
35,15,2,3,2,1,0,3,5,1,1,1,5,4,11,11,11,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0
36,15,4,3,1,3,0,5,4,3,1,1,4,0,14,14,14,0,1,1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0
37,16,4,4,2,3,0,2,4,3,1,1,5,4,13,13,13,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1,1
38,15,3,4,1,3,0,4,3,2,1,1,5,2,11,12,12,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0
39,15,2,2,1,1,0,4,3,1,1,1,2,8,14,13,12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0
40,16,2,2,2,2,0,3,3,3,1,2,3,16,11,11,10,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1
41,15,4,4,1,1,0,5,4,3,2,4,5,8,10,11,11,0,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1
42,15,4,4,1,2,0,4,3,3,1,1,5,0,14,15,15,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0
43,15,2,2,1,1,0,5,4,1,1,1,1,0,9,10,10,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0
44,16,2,2,2,2,1,4,3,3,2,2,5,14,10,11,11,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0
45,15,4,3,1,2,0,5,2,2,1,1,5,4,10,11,11,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
46,16,3,3,1,2,0,2,3,5,1,4,3,6,13,12,13,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,0
47,16,4,3,1,4,0,4,2,2,1,1,2,2,17,17,17,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,0
48,15,4,2,1,2,0,4,3,3,2,2,5,4,11,12,13,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0
49,15,4,4,1,2,0,4,4,4,1,1,3,2,13,12,12,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,0
50,16,2,2,3,2,0,4,3,3,2,3,4,0,14,13,13,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,0
51,15,4,2,1,2,0,4,3,3,1,1,5,0,16,14,16,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0
52,15,4,2,2,1,0,5,5,5,3,4,5,4,10,9,9,0,1,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
53,15,4,4,1,1,0,3,3,4,2,3,5,0,13,12,12,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,1,1,0
54,15,3,3,1,1,0,5,3,4,4,4,1,0,13,12,13,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0
55,16,2,1,1,2,0,5,3,4,1,1,2,2,12,13,12,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1
56,15,4,3,1,2,0,4,3,2,1,1,1,0,15,14,15,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0
57,15,4,4,1,2,0,3,2,2,1,1,5,8,15,15,16,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0
58,15,1,2,1,2,0,4,3,2,1,1,5,0,14,13,14,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0
59,16,4,2,1,2,0,4,2,3,1,1,5,2,16,15,16,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0
60,16,4,4,1,2,0,2,4,4,2,3,4,0,17,16,16,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0
61,16,1,1,4,1,0,5,5,5,5,5,5,0,10,10,16,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1
62,16,1,2,1,2,0,4,4,3,1,1,1,0,13,13,10,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0
63,16,4,3,1,3,0,3,4,4,2,4,4,0,14,13,13,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,0
64,15,4,3,1,2,0,4,4,4,2,4,2,0,13,12,12,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1
65,16,4,3,3,2,0,5,4,3,1,2,1,2,16,15,16,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0
66,15,4,4,1,4,0,1,3,3,5,5,3,0,11,12,12,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,1
67,16,3,1,1,4,0,4,3,3,1,2,5,0,10,9,10,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0
68,15,2,2,2,2,0,4,1,3,1,3,4,0,11,10,11,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,1,1,1,0
69,15,3,1,2,4,0,4,4,2,2,3,3,6,15,15,15,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
70,16,3,1,2,4,0,4,3,2,1,1,5,2,13,11,11,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0
71,15,4,2,1,4,0,3,3,3,1,1,3,0,11,9,10,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
72,15,1,1,1,2,0,3,3,4,2,4,5,2,13,11,11,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0,1,1,1
73,16,3,1,1,1,0,5,3,2,2,2,5,0,13,13,14,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0
74,16,3,3,1,2,0,4,3,3,2,4,5,4,11,11,11,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0
75,15,4,3,1,2,0,4,3,3,2,3,5,0,11,11,11,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,1,1,0
76,15,4,0,2,4,0,3,4,3,1,1,1,0,12,11,11,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0
77,16,2,2,1,4,0,5,2,3,1,3,3,1,13,13,13,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1
78,17,2,1,2,1,3,4,5,1,1,1,3,0,9,9,10,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,1,0
79,16,3,4,1,2,0,2,4,3,1,2,3,14,12,11,11,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0
80,15,2,3,1,1,0,3,2,2,1,3,3,0,11,11,12,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,1
81,15,2,3,1,3,0,5,3,2,1,2,5,2,10,9,9,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0
82,15,3,2,1,2,0,4,4,4,1,1,5,4,12,11,11,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0
83,15,2,2,2,2,0,5,3,3,1,3,4,2,13,12,13,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,1,1,1,1,0
84,15,1,1,1,2,0,4,3,2,2,3,4,2,13,12,12,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0
85,15,4,4,2,2,0,4,4,4,2,3,5,4,12,11,12,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1
86,16,2,2,1,2,0,4,3,4,1,2,2,6,13,11,11,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
87,15,4,2,1,3,0,5,3,3,1,3,1,4,15,15,15,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0
88,16,2,2,2,2,0,4,4,2,1,1,3,6,12,10,11,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0
89,16,4,4,1,2,0,4,1,3,3,5,5,6,9,9,10,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0
90,16,3,3,1,3,0,4,3,3,1,3,4,2,9,11,11,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1
91,15,4,3,1,1,0,4,5,5,1,3,1,6,14,13,13,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0
92,16,3,1,1,2,0,3,3,3,2,3,2,0,12,13,12,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0
93,16,4,2,2,2,0,5,3,3,1,1,1,2,13,14,14,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0
94,15,2,2,1,4,0,4,3,4,1,1,4,2,11,12,12,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0
95,15,1,1,2,4,0,3,1,2,1,1,1,4,13,13,13,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0
96,16,4,3,2,1,0,3,3,3,1,1,4,6,9,11,11,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,0,1,1,0
97,16,2,1,1,2,0,4,3,5,1,1,5,0,13,12,12,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1
98,16,4,4,1,1,0,5,3,4,1,2,1,4,12,13,13,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0
99,16,4,3,1,3,0,5,3,5,1,1,3,2,12,13,13,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0
100,16,4,4,1,1,0,4,5,5,5,5,4,12,9,9,8,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,1,0
101,16,4,4,1,3,0,4,4,3,1,1,4,0,16,16,16,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,1,1,1
102,15,4,4,1,1,0,5,3,3,1,1,5,2,12,13,12,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0
103,15,3,2,2,2,0,4,3,5,1,1,2,16,11,10,10,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,1,0
104,15,3,4,1,2,0,5,4,4,1,1,1,0,16,16,16,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0
105,15,3,3,1,4,0,4,3,3,1,1,4,10,10,10,10,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0
106,15,2,2,1,4,0,5,1,2,1,1,3,4,10,10,10,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0
107,16,3,3,1,3,0,5,3,3,1,1,5,4,13,14,14,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0
108,15,4,4,4,4,0,1,3,5,3,5,1,8,12,10,11,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1
109,16,4,4,1,3,0,5,4,5,1,1,4,2,15,15,14,0,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1
110,15,4,4,1,1,0,5,5,3,1,1,4,4,13,14,14,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0
111,16,3,3,1,3,0,4,1,2,1,1,2,4,11,11,11,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0
112,16,2,2,1,2,1,3,1,2,1,1,5,12,8,10,10,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0
113,15,4,2,1,1,0,3,5,2,1,1,3,10,18,17,18,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
114,15,2,1,1,2,0,5,4,2,1,1,5,4,10,9,10,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,1,1,1
115,16,4,4,1,2,0,5,4,4,1,2,5,6,16,14,14,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0
116,15,4,4,2,2,0,4,4,3,1,1,2,4,16,15,16,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0
117,16,3,3,2,1,0,5,4,2,1,1,5,6,14,14,15,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0
118,17,1,3,3,2,1,5,2,4,1,4,5,14,12,11,11,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
119,15,3,4,1,1,0,3,4,3,1,2,4,2,14,13,14,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0
120,15,1,2,1,2,0,3,2,3,1,2,1,0,14,14,14,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
121,15,2,2,1,4,0,5,5,4,1,2,5,6,14,13,13,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0
122,16,2,4,2,2,0,4,2,2,1,2,5,2,14,12,13,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
123,16,4,4,1,1,0,3,4,4,1,4,5,4,12,13,13,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0
124,16,2,2,1,2,0,5,4,4,1,1,5,0,12,11,11,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1
125,15,3,4,1,1,0,5,5,5,3,2,5,2,9,9,9,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0
